Nama Reviewer,Lokasi Reviewer,Tanggal Mereview,Rating,Ulasan,Nama Hotel
Citra,,April 2023,1.0,"Stayed for 3 days, with my fam for eid mubarak season at istana savage.
the place is near from jakarta and nice view as well.
but what i dont like is the rules:
- extra person eventhough only stay for few hours,we had to pay IDR 190.000 each. (5 starts hotel or ritz carlton residences,never charge for visitor)
- max 16 person (even toddler 2 yrs old they count as 1)
- for the water (Aqua) its not compliment.. refill charge IDR 30.000..
- the playground area (indoor),,not really clean.. a lot of bugs,and very hot without AC.. and the toys mostly broken.
- Karaoke its works.. but useless,they didnt provide a MIC.
- there's a timer for living room.. 
- AND they told us (the staff) to clean the kitchen before check out, to do clean the stuff and so on. 
even dont let it a single dirty dish in the dishwasher,bcs a new guest will come.. (its like they give me a lot of rules condition to stay + we hv to help to clean or help their job)
for me.. there's was not flexibility and too commercil",Istana Savage - stunning private secluded retreat
Sekar,,September 2022,1.0,"The villa is really nice, big and very well equipped for the kids as well as the family. Highly recommended, because of the strategic location and cool air.",Istana Savage - stunning private secluded retreat
Yuven,,Juni 2023,2.0,"1. The fridge didn't cool. Eventually we had to use staff's fridge at the back. It was already 75% full so we could only shared the remaining space.
2. Indihome setup in the master bedroom was barely working (we called the staff to help reset few times until we gave up on it).
3. The worst. On Day 2, the ACs in 2 bedrooms won't turn on! So my parents and my aunt+uncle had to sleep without AC. With such hot weather, this was horrible! My dad eventually decided to sleep outside in the balcony (with the mosquitos).
With the good reviews, I had my expectation high & was excited to invite my family over to celebrate my son’s bday. I ended up feeling bad and very sorry for them to experience such troubles. Also imagine the frustation having to call for help every few hours and had staff in and out.
To be fair, the staffs were responsive. But for whatever reason, it doesn’t change the fact that things (which were rather basic needs) were faulty. We hope this won't happen to other guests",Istana Savage - stunning private secluded retreat
Iwan,,Juni 2022,2.0,"Villa comfortable,  clean,  spacious, Complete facilities. For the staff is not friendly,  jutek, it  is not suitable for services in the hospitality industry.  Check-out time is too early,  usually 12: 00pm - 1: 00pm because check-in time must also be after 2: 00pm. Guests who are getting ready to check out are like being hunted because they are in the cottage. It gets uncomfortable because we feel like we're being kicked out.  For an additional charge of people is too expensive. The extra charge of drinking water gallons is expensive, is the gallon in full condition we also don't know.  Broken glass replacement is expensive even though the glass is broken by accident.  We're disappointed with the service",Istana Savage - stunning private secluded retreat
Susanti,,Agustus 2021,2.0,"in this villa we are not free because the manager is there and lives with us, the villa regulations are also strict and we as tenants feel not free and constrained.",Istana Savage - stunning private secluded retreat
Carissa,,September 2025,3.0,"Check in early, 12.30 .. but check out was also in a hurry, from 10.30 the cleaning lady had arrived to clean, and the towels we wanted to use because we hadn't showered had been taken to be washed so it made it uncomfortable, the dish rack wasn't good, we helped wash the glasses the place was fragile so the glasses broke 2, and we had to change them.. 
The karaoke place is upstairs so we can't be together, it should be downstairs so we can gather as a family while karaoke .. 
The place is clean, nice as in the photos, but in the morning when I woke up there were a lot of cat droppings so it smelled like the plants next to the swimming pool 
Playground for kids is nice and clean and cool with air conditioning",Istana Savage - stunning private secluded retreat
Chang Su,,Desember 2024,3.0,"This is the second house I use. Again, I had a comfortable stay and went back.",Istana Savage - stunning private secluded retreat
Nadia,,September 2024,3.0,"The villa was spacious, clean and there was playing room for children, suitable for family staycation, its located in a private neighborhood. I really like it, however there were some miscommunication regarding the rules, We were celebrating my mom’s birthday with families and close friends and the number of people who came are exceeded the maximum capacity that are allowed by the Villa so some of us decided to leave to reduce the number of people, also John did tell me that the rate that I paid was for maximum of 16 people and there is going to be additional charge for every additional person, but I thought it was for the people who are spending the night at the villa not people who are just coming for the birthday dinner we held for my mom, so I paid the extra charge even tho the people who are spending the night there not more than 16 pax. I wish John and Aufa (the villa manager) communicate it better next time beforehand.",Istana Savage - stunning private secluded retreat
Riska,,Mei 2024,3.0,"This villa over is too expensive if we would like stay more than 16 people (include toodlers).
They have rule that additional charge 190K/person even we bring many toodlers to staying.
So, this villa doesn’t worth it if we will stay with many people (include kids or toodler).",Istana Savage - stunning private secluded retreat
Dian,,Oktober 2019,3.0,Villa is ok ...too many rules! Wkt check out by 11 is not in accordance with other villas in general..and what is very disappointing is that there is 1 glass that is a little cracked but we are charged for 1 glass of 45 thousand??!!! It's too much!!!,Istana Savage - stunning private secluded retreat
Diana,,Oktober 2018,3.0,"Stayed at villa savage on 19-20 Oct 2018. Nice place, full furnished, nice swimming pool but too commercil, there was not flexibility.
We arrived villa at 21:30 and for extra person eventhough only stay 1 hour had to pay IDR190,000 each. For normal capacity 16 persons, there are no enough towel and blanket.
We did not refill the aqua but when check out, we were charged for IDR30,000 (it’s no compliment).
Karaore, barbeque grill, microwave were not working.
Anyone who plan to stay in this villa, make sure to bring own toiletry.",Istana Savage - stunning private secluded retreat
Yulianti,,September 2018,3.0,"Villa was amazing. My first impression was excellent. But then i was surprised when the villa mgr text me that we need to pay for extra charged, 190.000 per person. My mistake was did not read the house rules clearly. But still, 190.000 for extra person is too expensive. It’s not that we are going to have an extra room for that additional fee. And they will still charge for the extra person even though the person will not stay at the villa. At the end they did not charge me for a friend that did not stay over at the villa. I told them that one of my colleague is pregnant and her husband is on the way to pick her up. But logically, even if i stay in 5 stars hotel. They will not charge me for a guest that come to visit me to the room no? We were enjoying the villa ‘till some rules made us a little bit uncomfortable. Just a suggestion, it would be nicer if additional fee for extra person is being waived.. anyhow, this is not my first time booked a villa on airbnb and never had a problem with this. As our consideration is we booked the entire villa, not as per person counted. And if we tried to book on the web, 16 pax is for the maximum guest that we could put while we want start or seeking for a villa. Additional price at that amount would be acceptable if the host could give us more facilities. It would be still make sense. And, they charged us 85.000 for a standard collins glass. Too pricey. Even if it’s IKEA, i know how much the real cost of one collins glass.",Istana Savage - stunning private secluded retreat
